consult_id,customer_id,consult_date,channel,category,duration_min,status,is_recontact,agent_id
CON0001,C001,2024-12-06,전화,해지문의,19,완료,N,AG15
CON0002,C001,2024-01-07,전화,장애신고,18,완료,N,AG02
CON0003,C002,2024-09-02,전화,기타,22,완료,N,AG16
CON0004,C002,2024-06-24,채팅,해지문의,7,완료,N,AG02
CON0005,C002,2024-10-13,채팅,부가서비스,8,미해결,N,AG03
CON0006,C003,2024-04-15,전화,해지문의,7,재문의,N,AG09
CON0007,C003,2024-01-19,앱,요금문의,10,미해결,N,AG02
CON0008,C003,2024-04-30,채팅,장애신고,13,재문의,N,AG06
CON0009,C003,2024-03-24,앱,장애신고,7,완료,N,AG20
CON0010,C004,2024-05-17,전화,기타,22,미해결,N,AG13
CON0011,C004,2024-11-29,채팅,해지문의,7,완료,N,AG18
CON0012,C004,2024-10-12,전화,요금문의,19,완료,N,AG01
CON0013,C004,2024-11-06,채팅,해지문의,6,완료,N,AG17
CON0014,C005,2024-04-11,채팅,요금문의,9,완료,Y,AG20
CON0015,C006,2024-04-01,전화,부가서비스,16,완료,N,AG09
CON0016,C006,2024-09-15,채팅,명의변경,12,완료,N,AG04
CON0017,C007,2024-04-04,전화,부가서비스,11,완료,N,AG10
CON0018,C007,2024-11-11,채팅,요금문의,9,재문의,N,AG11
CON0019,C008,2024-06-04,전화,해지문의,17,완료,N,AG08
CON0020,C008,2024-06-20,채팅,요금문의,9,완료,N,AG02
CON0021,C008,2024-10-25,앱,요금문의,8,미해결,Y,AG06
CON0022,C009,2024-01-04,전화,요금문의,15,완료,N,AG05
CON0023,C009,2024-03-24,전화,해지문의,18,완료,N,AG03
CON0024,C010,2024-05-22,앱,부가서비스,7,완료,N,AG10
CON0025,C010,2024-12-24,채팅,요금문의,10,완료,N,AG11
CON0026,C010,2024-12-17,전화,요금문의,14,완료,N,AG02
CON0027,C010,2024-07-13,전화,부가서비스,23,완료,N,AG09
CON0028,C011,2024-07-19,채팅,기타,5,완료,Y,AG04
CON0029,C011,2024-06-17,이메일,기타,,미해결,N,AG09
CON0030,C011,2024-06-26,이메일,해지문의,,재문의,Y,AG13
CON0031,C011,2024-07-20,이메일,기타,,완료,N,AG09
CON0032,C011,2024-07-10,채팅,기타,9,완료,Y,AG06
CON0033,C011,2024-07-14,전화,요금문의,28,재문의,Y,AG01
CON0034,C011,2024-06-28,전화,해지문의,8,완료,Y,AG16
CON0035,C011,2024-06-28,채팅,명의변경,7,완료,N,AG09
CON0036,C012,2024-02-29,전화,해지문의,17,완료,N,AG05
CON0037,C012,2024-08-26,전화,해지문의,12,완료,N,AG14
CON0038,C012,2024-11-28,전화,기타,31,완료,N,AG17
CON0039,C012,2024-11-18,채팅,장애신고,9,완료,Y,AG10
CON0040,C013,2024-12-01,전화,부가서비스,23,완료,N,AG17
CON0041,C013,2024-05-06,이메일,해지문의,,미해결,N,AG08
CON0042,C013,2024-10-04,채팅,장애신고,7,완료,Y,AG04
CON0043,C014,2024-04-08,전화,장애신고,21,완료,N,AG03
CON0044,C015,2024-06-15,앱,해지문의,0,재문의,Y,AG02
CON0045,C015,2024-07-21,전화,요금문의,32,완료,Y,AG10
CON0046,C015,2024-08-07,전화,부가서비스,25,완료,N,AG12
CON0047,C016,2024-08-05,앱,명의변경,7,완료,Y,AG09
CON0048,C016,2024-12-08,이메일,요금문의,,미해결,Y,AG04
CON0049,C016,2024-09-21,전화,해지문의,19,완료,N,AG11
CON0050,C016,2024-02-18,전화,부가서비스,27,완료,N,AG16
CON0051,C017,2024-10-29,전화,장애신고,12,완료,N,AG10
CON0052,C017,2024-07-08,전화,해지문의,24,완료,N,AG03
CON0053,C017,2024-09-22,채팅,요금문의,5,미해결,N,AG06
CON0054,C018,2024-03-16,채팅,요금문의,12,미해결,N,AG15
CON0055,C018,2024-06-03,전화,장애신고,17,완료,N,AG18
CON0056,C019,2024-10-09,전화,요금문의,17,완료,N,AG09
CON0057,C019,2024-10-18,전화,요금문의,20,완료,N,AG18
CON0058,C019,2024-04-01,채팅,요금문의,10,완료,Y,AG15
CON0059,C020,2024-03-09,전화,부가서비스,20,완료,N,AG02
CON0060,C021,2024-02-29,채팅,부가서비스,8,완료,N,AG07
CON0061,C022,2024-07-04,이메일,기타,,완료,N,AG14
CON0062,C022,2024-05-29,전화,명의변경,12,완료,N,AG18
CON0063,C022,2024-09-06,전화,요금문의,16,완료,Y,AG16
CON0064,C023,2024-08-26,채팅,기타,7,완료,Y,AG07
CON0065,C023,2024-09-16,앱,요금문의,7,완료,N,AG15
CON0066,C023,2024-08-20,이메일,해지문의,,미해결,N,AG18
CON0067,C023,2024-09-27,전화,요금문의,23,완료,N,AG02
CON0068,C024,2024-04-17,전화,요금문의,19,완료,N,AG11
CON0069,C024,2024-08-06,이메일,장애신고,,완료,N,AG03
CON0070,C024,2024-11-21,앱,장애신고,2,완료,N,AG18
CON0071,C025,2024-03-01,채팅,요금문의,3,완료,Y,AG08
CON0072,C025,2024-04-04,이메일,요금문의,,재문의,Y,AG16
CON0073,C026,2024-01-27,앱,요금문의,6,완료,N,AG09
CON0074,C026,2024-01-30,채팅,부가서비스,6,완료,N,AG17
CON0075,C026,2024-11-18,채팅,해지문의,2,완료,N,AG20
CON0076,C027,2024-04-14,채팅,명의변경,6,미해결,N,AG14
CON0077,C027,2024-06-21,전화,장애신고,18,완료,N,AG20
CON0078,C027,2024-11-04,전화,장애신고,22,완료,Y,AG08
CON0079,C028,2024-06-17,앱,장애신고,5,완료,N,AG06
CON0080,C028,2024-11-29,채팅,장애신고,6,미해결,N,AG06
CON0081,C029,2024-06-28,전화,장애신고,11,재문의,N,AG16
CON0082,C030,2024-01-09,앱,기타,6,완료,N,AG19
CON0083,C030,2024-03-22,이메일,요금문의,,미해결,Y,AG19
CON0084,C030,2024-04-01,전화,장애신고,20,완료,N,AG08
CON0085,C030,2024-03-11,전화,해지문의,30,완료,Y,AG20
CON0086,C031,2024-06-19,채팅,장애신고,5,완료,N,AG03
CON0087,C031,2024-07-18,전화,부가서비스,9,완료,Y,AG07
CON0088,C031,2024-09-06,전화,요금문의,20,재문의,N,AG19
CON0089,C032,2024-10-31,전화,요금문의,13,완료,N,AG05
CON0090,C032,2024-10-17,채팅,명의변경,8,완료,N,AG07
CON0091,C032,2024-11-02,앱,요금문의,7,완료,N,AG05
CON0092,C033,2024-09-27,채팅,기타,8,재문의,Y,AG04
CON0093,C033,2024-09-26,전화,요금문의,20,완료,N,AG03
CON0094,C033,2024-11-20,앱,요금문의,6,미해결,N,AG09
CON0095,C033,2024-04-30,전화,요금문의,21,완료,N,AG09
CON0096,C034,2024-08-15,전화,장애신고,15,완료,N,AG20
CON0097,C034,2024-03-15,앱,요금문의,7,완료,N,AG13
CON0098,C035,2024-05-29,앱,장애신고,8,미해결,N,AG13
CON0099,C036,2024-03-30,전화,요금문의,14,완료,N,AG10
CON0100,C036,2024-07-26,전화,해지문의,19,완료,N,AG14
CON0101,C037,2024-02-05,전화,요금문의,15,재문의,N,AG17
CON0102,C038,2024-03-07,전화,요금문의,21,완료,N,AG14
CON0103,C038,2024-02-13,채팅,장애신고,8,완료,N,AG09
CON0104,C039,2024-11-25,전화,명의변경,20,미해결,N,AG13
CON0105,C039,2024-03-02,이메일,요금문의,,완료,N,AG08
CON0106,C039,2024-12-10,채팅,요금문의,11,완료,Y,AG18
CON0107,C040,2024-09-21,채팅,부가서비스,5,완료,Y,AG19
CON0108,C041,2024-02-16,전화,요금문의,27,완료,N,AG06
CON0109,C042,2024-01-01,채팅,기타,6,완료,N,AG03
CON0110,C042,2024-07-25,채팅,명의변경,11,재문의,N,AG03
CON0111,C043,2024-03-18,앱,장애신고,7,재문의,Y,AG09
CON0112,C043,2024-02-11,전화,해지문의,22,완료,N,AG05
CON0113,C043,2024-02-21,전화,요금문의,23,완료,N,AG09
CON0114,C043,2024-05-27,전화,기타,28,완료,N,AG11
CON0115,C045,2024-11-11,전화,장애신고,13,완료,N,AG15
CON0116,C045,2024-04-16,전화,해지문의,16,완료,N,AG17
CON0117,C045,2024-08-10,채팅,기타,14,완료,N,AG07
CON0118,C046,2024-11-14,전화,요금문의,15,완료,N,AG20
CON0119,C046,2024-09-17,전화,장애신고,25,완료,N,AG06
CON0120,C046,2024-08-25,앱,장애신고,8,완료,N,AG08
CON0121,C046,2024-09-13,앱,요금문의,6,완료,N,AG15
CON0122,C047,2024-10-05,채팅,기타,2,완료,N,AG17
CON0123,C047,2024-05-31,채팅,해지문의,12,미해결,N,AG20
CON0124,C048,2024-06-04,전화,해지문의,23,완료,N,AG08
CON0125,C048,2024-08-13,전화,요금문의,11,완료,N,AG03
CON0126,C048,2024-11-28,채팅,장애신고,6,재문의,Y,AG03
CON0127,C048,2024-03-04,이메일,해지문의,,재문의,N,AG01
CON0128,C049,2024-11-10,전화,부가서비스,17,완료,N,AG04
