satisfaction_id,consult_id,customer_id,survey_date,csat,nps,comment
SAT0001,CON0001,C001,2024-12-07,3,7,
SAT0002,CON0002,C001,2024-01-10,2,7,기대보다 별로였어요.
SAT0003,CON0003,C002,2024-09-04,4,5,
SAT0004,CON0004,C002,2024-06-26,4,6,도움이 됐습니다.
SAT0005,CON0005,C002,2024-10-15,4,2,상담사가 친절했어요.
SAT0006,CON0006,C003,2024-04-17,4,4,도움이 됐습니다.
SAT0007,CON0007,C003,2024-01-22,3,9,보통이에요.
SAT0008,CON0008,C003,2024-05-03,3,6,그럭저럭이에요.
SAT0009,CON0009,C003,2024-03-26,4,7,
SAT0010,CON0010,C004,2024-05-20,5,8,문제가 바로 해결됐어요. 최고입니다.
SAT0011,CON0011,C004,2024-11-30,3,6,그럭저럭이에요.
SAT0012,CON0012,C004,2024-10-15,4,9,
SAT0013,CON0013,C004,2024-11-08,3,6,
SAT0014,CON0014,C005,2024-04-13,3,4,
SAT0015,CON0015,C006,2024-04-04,5,7,문제가 바로 해결됐어요. 최고입니다.
SAT0016,CON0016,C006,2024-09-18,1,5,
SAT0017,CON0017,C007,2024-04-07,4,7,
SAT0018,CON0018,C007,2024-11-14,3,2,그럭저럭이에요.
SAT0019,CON0019,C008,2024-06-07,5,5,
SAT0020,CON0020,C008,2024-06-22,3,6,해결은 됐는데 시간이 좀 걸렸어요.
SAT0021,CON0021,C008,2024-10-28,3,6,보통이에요.
SAT0022,CON0022,C009,2024-01-07,5,7,정말 친절하게 도와주셔서 감사해요!
SAT0023,CON0023,C009,2024-03-26,4,5,도움이 됐습니다.
SAT0024,CON0024,C010,2024-05-24,4,5,상담사가 친절했어요.
SAT0025,CON0025,C010,2024-12-27,5,5,
SAT0026,CON0026,C010,2024-12-19,3,7,
SAT0027,CON0027,C010,2024-07-16,3,9,해결은 됐는데 시간이 좀 걸렸어요.
SAT0028,CON0028,C011,2024-07-20,1,5,너무 불만족스러워요.
SAT0029,CON0029,C011,2024-06-19,2,6,
SAT0030,CON0030,C011,2024-06-29,5,5,
SAT0031,CON0031,C011,2024-07-22,2,4,기대보다 별로였어요.
SAT0032,CON0032,C011,2024-07-11,4,1,도움이 됐습니다.
SAT0033,CON0033,C011,2024-07-15,4,6,도움이 됐습니다.
SAT0034,CON0034,C011,2024-06-30,3,6,그럭저럭이에요.
SAT0035,CON0035,C011,2024-06-29,5,5,
SAT0036,CON0036,C012,2024-03-03,3,6,해결은 됐는데 시간이 좀 걸렸어요.
SAT0037,CON0037,C012,2024-08-27,5,4,
SAT0038,CON0038,C012,2024-11-30,4,6,
SAT0039,CON0039,C012,2024-11-19,4,5,상담사가 친절했어요.
SAT0040,CON0040,C013,2024-12-02,4,8,대체로 만족스러웠어요.
SAT0041,CON0041,C013,2024-05-07,1,5,전혀 해결이 안 됐어요.
SAT0042,CON0042,C013,2024-10-07,3,5,
SAT0043,CON0043,C014,2024-04-11,3,6,해결은 됐는데 시간이 좀 걸렸어요.
SAT0044,CON0044,C015,2024-06-18,4,5,대체로 만족스러웠어요.
SAT0045,CON0045,C015,2024-07-24,4,7,대체로 만족스러웠어요.
SAT0046,CON0046,C015,2024-08-10,4,7,대체로 만족스러웠어요.
SAT0047,CON0047,C016,2024-08-07,3,6,
SAT0048,CON0048,C016,2024-12-09,2,4,
SAT0049,CON0049,C016,2024-09-22,4,8,
SAT0050,CON0050,C016,2024-02-20,4,6,
SAT0051,CON0051,C017,2024-10-31,4,7,대체로 만족스러웠어요.
SAT0052,CON0052,C017,2024-07-09,5,6,
SAT0053,CON0053,C017,2024-09-24,3,6,해결은 됐는데 시간이 좀 걸렸어요.
SAT0054,CON0054,C018,2024-03-17,4,7,상담사가 친절했어요.
SAT0055,CON0055,C018,2024-06-06,3,2,해결은 됐는데 시간이 좀 걸렸어요.
SAT0056,CON0056,C019,2024-10-11,3,6,
SAT0057,CON0057,C019,2024-10-21,5,9,정말 친절하게 도와주셔서 감사해요!
SAT0058,CON0058,C019,2024-04-02,4,6,대체로 만족스러웠어요.
SAT0059,CON0059,C020,2024-03-11,4,4,대체로 만족스러웠어요.
SAT0060,CON0060,C021,2024-03-01,3,4,그럭저럭이에요.
SAT0061,CON0061,C022,2024-07-07,2,6,개선이 필요한 것 같아요.
SAT0062,CON0062,C022,2024-06-01,4,10,상담사가 친절했어요.
SAT0063,CON0063,C022,2024-09-09,4,7,도움이 됐습니다.
SAT0064,CON0064,C023,2024-08-29,2,5,개선이 필요한 것 같아요.
SAT0065,CON0065,C023,2024-09-19,3,1,
SAT0066,CON0066,C023,2024-08-23,1,1,
SAT0067,CON0067,C023,2024-09-29,3,5,
SAT0068,CON0068,C024,2024-04-19,4,3,
SAT0069,CON0069,C024,2024-08-09,2,2,기대보다 별로였어요.
SAT0070,CON0070,C024,2024-11-24,5,7,정말 친절하게 도와주셔서 감사해요!
SAT0071,CON0071,C025,2024-03-03,3,7,그럭저럭이에요.
SAT0072,CON0072,C025,2024-04-06,3,5,해결은 됐는데 시간이 좀 걸렸어요.
SAT0073,CON0073,C026,2024-01-28,4,6,도움이 됐습니다.
SAT0074,CON0074,C026,2024-02-01,5,5,빠른 처리에 매우 만족합니다.
SAT0075,CON0075,C026,2024-11-19,4,7,도움이 됐습니다.
SAT0076,CON0076,C027,2024-04-16,2,6,개선이 필요한 것 같아요.
SAT0077,CON0077,C027,2024-06-22,3,8,그럭저럭이에요.
SAT0078,CON0078,C027,2024-11-05,3,8,보통이에요.
SAT0079,CON0079,C028,2024-06-18,5,6,빠른 처리에 매우 만족합니다.
SAT0080,CON0080,C028,2024-12-02,2,6,처리가 느렸어요.
SAT0081,CON0081,C029,2024-06-29,5,6,
SAT0082,CON0082,C030,2024-01-10,4,4,상담사가 친절했어요.
SAT0083,CON0083,C030,2024-03-23,4,3,대체로 만족스러웠어요.
SAT0084,CON0084,C030,2024-04-03,3,7,그럭저럭이에요.
SAT0085,CON0085,C030,2024-03-13,4,10,
SAT0086,CON0086,C031,2024-06-22,5,5,
