usage_id,customer_id,year_month,data_gb,call_min,billing_amount,service_count,app_login_count
U00001,C001,2024-01,61.63,294,89402,3,11
U00002,C001,2024-02,85.84,309,86783,1,12
U00003,C001,2024-03,47.14,274,79113,4,15
U00004,C001,2024-04,36.57,331,86092,4,22
U00005,C001,2024-05,51.34,121,86018,4,5
U00006,C001,2024-06,65.29,326,85665,7,19
U00007,C001,2024-07,88.07,183,78998,5,11
U00008,C001,2024-08,68.66,247,71935,6,15
U00009,C001,2024-09,47.88,213,83856,3,12
U00010,C001,2024-10,56.71,296,89556,4,14
U00011,C001,2024-11,61.15,340,79863,6,15
U00012,C001,2024-12,83.46,239,95841,3,13
U00013,C002,2024-01,19.3,188,50917,3,10
U00014,C002,2024-02,13.0,198,59954,3,16
U00015,C002,2024-03,16.19,258,41920,1,4
U00016,C002,2024-04,15.63,186,50607,0,10
U00017,C002,2024-05,10.21,157,50114,3,10
U00018,C002,2024-06,14.39,157,51102,3,12
U00019,C002,2024-07,22.65,128,45599,3,17
U00020,C002,2024-08,6.71,237,49169,1,20
U00021,C002,2024-09,14.03,254,47674,4,7
U00022,C002,2024-10,20.81,126,55115,2,10
U00023,C002,2024-11,11.19,204,49707,1,13
U00024,C002,2024-12,20.55,290,43697,1,3
U00025,C003,2024-01,50.45,334,80995,7,17
U00026,C003,2024-02,49.1,314,71778,3,15
U00027,C003,2024-03,64.56,309,97668,5,16
U00028,C003,2024-04,73.58,475,91655,4,15
U00029,C003,2024-05,58.96,325,88887,4,18
U00030,C003,2024-06,77.21,237,85889,3,22
U00031,C003,2024-07,38.48,241,82236,3,17
U00032,C003,2024-08,79.1,236,82498,3,21
U00033,C003,2024-09,81.86,270,81589,6,8
U00034,C003,2024-10,50.22,234,84552,7,13
U00035,C003,2024-11,80.17,392,84982,3,13
U00036,C003,2024-12,44.04,402,82656,1,28
U00037,C004,2024-01,90.16,364,83941,2,20
U00038,C004,2024-02,58.8,337,87049,5,11
U00039,C004,2024-03,61.83,453,78903,4,13
U00040,C004,2024-04,56.9,430,76711,6,16
U00041,C004,2024-05,90.02,388,85516,5,5
U00042,C004,2024-06,83.89,328,92874,2,11
U00043,C004,2024-07,83.21,275,85328,0,20
U00044,C004,2024-08,88.57,372,85138,6,16
U00045,C004,2024-09,68.34,319,85646,4,10
U00046,C004,2024-10,63.41,379,93337,9,20
U00047,C004,2024-11,57.29,253,87850,7,25
U00048,C004,2024-12,76.23,302,84558,3,17
U00049,C005,2024-01,46.82,417,83240,2,19
U00050,C005,2024-02,40.56,285,85837,2,22
U00051,C005,2024-03,76.86,372,84214,4,14
U00052,C005,2024-04,59.06,275,84873,2,21
U00053,C005,2024-05,55.22,212,76948,2,18
U00054,C005,2024-06,77.26,243,96332,3,15
U00055,C005,2024-07,62.54,257,94465,4,17
U00056,C005,2024-08,64.76,385,80826,5,17
U00057,C005,2024-09,49.08,364,71784,0,18
U00058,C005,2024-10,72.96,292,83942,3,7
U00059,C005,2024-11,43.31,296,75981,5,18
