월,구분,채널,캠페인,예산,실집행,유입건수,is_completed
2024-05,온라인광고,검색광고,24년5월_검색광고_1차,41000,45000,1,True
2024-05,온라인광고,검색광고,24년5월_검색광고_2차,29000,27100,0,True
2024-05,온라인광고,SNS광고,24년5월_SNS광고_1차,93000,96000,0,False
2024-05,온라인광고,SNS광고,24년5월_SNS광고_2차,79000,64400,1,True
2024-05,온라인광고,자사앱푸시,24년5월_자사앱푸시_1차,6000,5600,0,True
2024-05,오프라인,오프라인매장,24년5월_오프라인매장_1차,42000,37000,1,False
2024-05,오프라인,제휴사,24년5월_제휴사_1차,45000,42000,2,True
2024-05,오프라인,제휴사,24년5월_제휴사_2차,37000,28900,1,True
2024-05,리워드,지인추천,24년5월_지인추천_1차,4000,3100,3,True
2024-06,온라인광고,검색광고,24년6월_검색광고_1차,72000,78000,1,True
2024-06,온라인광고,검색광고,24년6월_검색광고_2차,55000,43100,1,False
2024-06,온라인광고,SNS광고,24년6월_SNS광고_1차,218000,210000,1,True
2024-06,온라인광고,SNS광고,24년6월_SNS광고_2차,129000,129600,1,True
2024-06,온라인광고,자사앱푸시,24년6월_자사앱푸시_1차,4000,3300,0,True
2024-06,오프라인,오프라인매장,24년6월_오프라인매장_1차,55000,59200,1,True
2024-06,오프라인,제휴사,24년6월_제휴사_1차,29000,31000,1,False
2024-06,오프라인,제휴사,24년6월_제휴사_2차,28000,22000,1,True
2024-06,리워드,지인추천,24년6월_지인추천_1차,3000,3400,2,False
2024-07,온라인광고,검색광고,24년7월_검색광고_1차,59000,60000,2,True
2024-07,온라인광고,검색광고,24년7월_검색광고_2차,34000,35000,1,True
2024-07,온라인광고,SNS광고,24년7월_SNS광고_1차,181000,170000,1,False
2024-07,온라인광고,SNS광고,24년7월_SNS광고_2차,132000,110000,0,True
2024-07,온라인광고,자사앱푸시,24년7월_자사앱푸시_1차,5000,4200,1,True
2024-07,오프라인,오프라인매장,24년7월_오프라인매장_1차,52000,48000,2,False
2024-07,오프라인,제휴사,24년7월_제휴사_1차,39000,38000,1,False
2024-07,오프라인,제휴사,24년7월_제휴사_2차,30000,23000,1,True
2024-07,리워드,지인추천,24년7월_지인추천_1차,6000,5200,4,True
