month,channel,spend,impressions,clicks,signups
2019-01,SNS광고,161700,5053,125,1
2019-01,검색광고,30300,9450,147,0
2019-01,오프라인매장,50100,,,1
2019-01,자사앱푸시,4600,1794,71,0
2019-01,제휴사,48300,,,2
2019-01,지인추천,0,,,0
2019-02,SNS광고,132900,5145,148,1
2019-02,검색광고,62100,2696,35,1
2019-02,오프라인매장,116100,,,3
2019-02,자사앱푸시,13800,2604,123,3
2019-02,제휴사,0,,,0
2019-02,지인추천,5000,,,2
2019-03,SNS광고,286700,7592,229,2
2019-03,검색광고,270100,12655,178,6
2019-03,오프라인매장,23000,,,0
2019-03,자사앱푸시,3400,2245,113,0
2019-03,제휴사,21600,,,1
2019-03,지인추천,0,,,0
2019-04,SNS광고,128500,4275,110,1
2019-04,검색광고,58900,2049,26,1
2019-04,오프라인매장,61000,,,1
2019-04,자사앱푸시,3200,3635,191,0
2019-04,제휴사,75800,,,3
2019-04,지인추천,0,,,0
2019-05,SNS광고,404600,18228,409,3
2019-05,검색광고,148200,5828,87,3
2019-05,오프라인매장,14000,,,0
2019-05,자사앱푸시,9200,902,40,1
2019-05,제휴사,0,,,0
2019-05,지인추천,13800,,,4
2019-06,SNS광고,183000,5030,134,1
2019-06,검색광고,78400,2307,33,1
2019-06,오프라인매장,104700,,,3
2019-06,자사앱푸시,5700,2476,97,0
2019-06,제휴사,22900,,,1
2019-06,지인추천,11000,,,3
2019-07,SNS광고,42200,39005,1015,0
2019-07,검색광고,26100,5757,74,0
2019-07,오프라인매장,54200,,,1
2019-07,자사앱푸시,3000,3021,104,0
2019-07,제휴사,0,,,0
2019-07,지인추천,5100,,,1
2019-08,SNS광고,59400,24310,589,0
2019-08,검색광고,77800,2096,26,1
2019-08,오프라인매장,48600,,,1
2019-08,자사앱푸시,6100,2800,113,0
2019-08,제휴사,52200,,,2
2019-08,지인추천,6200,,,2
2019-09,SNS광고,368700,16051,469,3
2019-09,검색광고,64900,2129,31,1
2019-09,오프라인매장,74800,,,2
2019-09,자사앱푸시,8300,1200,65,1
2019-09,제휴사,56300,,,2
2019-09,지인추천,5200,,,1
2019-10,SNS광고,66800,18860,555,0
2019-10,검색광고,104900,3830,55,2
2019-10,오프라인매장,53300,,,1
2019-10,자사앱푸시,13600,3702,195,3
2019-10,제휴사,80500,,,3
2019-10,지인추천,4100,,,1
2019-11,SNS광고,159400,6977,205,1
2019-11,검색광고,110200,4921,70,2
2019-11,오프라인매장,40500,,,1
2019-11,자사앱푸시,9800,862,39,1
2019-11,제휴사,28100,,,1
2019-11,지인추천,2500,,,2
2019-12,SNS광고,168200,9024,211,1
2019-12,검색광고,150700,8717,96,3
2019-12,오프라인매장,70000,,,2
2019-12,자사앱푸시,11600,1033,54,1
2019-12,제휴사,0,,,0
2019-12,지인추천,3400,,,1
2020-01,SNS광고,136900,4408,127,1
2020-01,검색광고,94500,4098,53,2
2020-01,오프라인매장,71200,,,2
2020-01,자사앱푸시,6900,1877,91,2
2020-01,제휴사,23000,,,1
2020-01,지인추천,6500,,,2
2020-02,SNS광고,138300,3982,119,1
2020-02,검색광고,100700,4634,74,2
2020-02,오프라인매장,26000,,,0
2020-02,자사앱푸시,7500,2959,113,0
2020-02,제휴사,26400,,,1
2020-02,지인추천,4700,,,1
2020-03,SNS광고,163900,3809,113,1
2020-03,검색광고,66300,2498,27,1
2020-03,오프라인매장,99200,,,3
2020-03,자사앱푸시,4400,1790,55,0
2020-03,제휴사,25100,,,1
2020-03,지인추천,7000,,,2
2020-04,SNS광고,157700,4965,113,1
2020-04,검색광고,117400,3575,55,2
2020-04,오프라인매장,71800,,,2
2020-04,자사앱푸시,12300,1954,105,2
2020-04,제휴사,24500,,,1
2020-04,지인추천,4200,,,1
2020-05,SNS광고,163700,5618,157,1
2020-05,검색광고,192800,6685,101,4
2020-05,오프라인매장,37400,,,1
2020-05,자사앱푸시,7200,1938,60,0
2020-05,제휴사,24300,,,1
2020-05,지인추천,1100,,,1
2020-06,SNS광고,186100,9194,249,1
2020-06,검색광고,160300,5207,76,3
2020-06,오프라인매장,21000,,,0
2020-06,자사앱푸시,7900,2131,94,0
2020-06,제휴사,0,,,0
2020-06,지인추천,0,,,0
2020-07,SNS광고,278200,11164,342,2
2020-07,검색광고,154900,7615,115,3
2020-07,오프라인매장,10000,,,0
2020-07,자사앱푸시,7700,862,40,1
2020-07,제휴사,23800,,,1
2020-07,지인추천,8800,,,3
2020-08,SNS광고,50700,20266,448,0
2020-08,검색광고,30200,8593,130,0
2020-08,오프라인매장,56000,,,1
2020-08,자사앱푸시,7100,1583,83,0
2020-08,제휴사,29500,,,1
2020-08,지인추천,0,,,0
2020-09,SNS광고,54900,23382,597,0
2020-09,검색광고,153400,8378,84,3
2020-09,오프라인매장,59600,,,1
2020-09,자사앱푸시,5100,2795,129,0
2020-09,제휴사,0,,,0
2020-09,지인추천,0,,,0
2020-10,SNS광고,271800,9093,259,2
2020-10,검색광고,129200,5721,72,2
2020-10,오프라인매장,82400,,,2
2020-10,자사앱푸시,9400,809,41,1
2020-10,제휴사,0,,,0
2020-10,지인추천,4400,,,1
2020-11,SNS광고,398300,11505,307,3
2020-11,검색광고,141300,5353,81,3
2020-11,오프라인매장,22000,,,0
2020-11,자사앱푸시,11800,2614,110,2
2020-11,제휴사,27400,,,1
2020-11,지인추천,5000,,,1
2020-12,SNS광고,244200,15338,416,2
2020-12,검색광고,96100,3691,53,2
2020-12,오프라인매장,15000,,,0
2020-12,자사앱푸시,6500,3298,175,0
2020-12,제휴사,51600,,,2
2020-12,지인추천,5800,,,3
2021-01,SNS광고,175800,4679,144,1
2021-01,검색광고,113900,4150,52,2
2021-01,오프라인매장,77200,,,2
2021-01,자사앱푸시,6800,2253,71,0
2021-01,제휴사,0,,,0
2021-01,지인추천,7500,,,2
2021-02,SNS광고,414500,13960,357,3
2021-02,검색광고,68000,2625,38,1
2021-02,오프라인매장,15000,,,0
2021-02,자사앱푸시,5600,1048,49,1
2021-02,제휴사,52900,,,2
2021-02,지인추천,4200,,,1
2021-03,SNS광고,41600,19792,612,0
2021-03,검색광고,64400,2061,30,1
2021-03,오프라인매장,82600,,,2
2021-03,자사앱푸시,9000,1562,57,1
2021-03,제휴사,69500,,,3
2021-03,지인추천,0,,,0
2021-04,SNS광고,52500,33196,749,0
2021-04,검색광고,113500,7057,78,2
2021-04,오프라인매장,43000,,,1
2021-04,자사앱푸시,10900,2581,107,2
2021-04,제휴사,0,,,0
2021-04,지인추천,0,,,0
2021-05,SNS광고,167700,7124,204,1
2021-05,검색광고,112600,4407,50,2
2021-05,오프라인매장,19000,,,0
2021-05,자사앱푸시,10900,1792,59,1
2021-05,제휴사,0,,,0
2021-05,지인추천,0,,,0
2021-06,SNS광고,424500,24754,571,3
2021-06,검색광고,31100,8769,134,0
2021-06,오프라인매장,18000,,,0
2021-06,자사앱푸시,12700,1084,54,1
2021-06,제휴사,0,,,0
2021-06,지인추천,1900,,,3
2021-07,SNS광고,259400,13350,309,2
2021-07,검색광고,258700,12341,192,6
2021-07,오프라인매장,86900,,,2
2021-07,자사앱푸시,3900,3206,156,0
2021-07,제휴사,0,,,0
2021-07,지인추천,5400,,,2
2021-08,SNS광고,366600,15499,433,3
2021-08,검색광고,68500,3693,39,1
2021-08,오프라인매장,26000,,,0
2021-08,자사앱푸시,4700,2114,69,0
2021-08,제휴사,79600,,,3
2021-08,지인추천,1900,,,1
2021-09,SNS광고,62200,26234,823,0
2021-09,검색광고,194600,7499,108,4
2021-09,오프라인매장,26000,,,0
2021-09,자사앱푸시,14000,4433,189,3
2021-09,제휴사,0,,,0
2021-09,지인추천,2400,,,1
2021-10,SNS광고,159200,4341,117,1
2021-10,검색광고,55100,2195,33,1
2021-10,오프라인매장,46800,,,1
2021-10,자사앱푸시,4400,1666,83,0
2021-10,제휴사,0,,,0
2021-10,지인추천,7700,,,2
2021-11,SNS광고,159000,7324,224,1
2021-11,검색광고,35900,5208,57,0
2021-11,오프라인매장,21000,,,0
2021-11,자사앱푸시,11100,4278,177,3
2021-11,제휴사,21700,,,1
2021-11,지인추천,3600,,,1
2021-12,SNS광고,68900,35707,865,0
2021-12,검색광고,119500,4685,60,2
2021-12,오프라인매장,11000,,,0
2021-12,자사앱푸시,10300,764,42,1
2021-12,제휴사,116000,,,5
2021-12,지인추천,13000,,,3
2022-01,SNS광고,299300,11505,332,2
2022-01,검색광고,54000,3624,40,1
2022-01,오프라인매장,116500,,,3
2022-01,자사앱푸시,6100,2752,126,0
2022-01,제휴사,0,,,0
2022-01,지인추천,7700,,,4
2022-02,SNS광고,422000,9531,304,3
2022-02,검색광고,115800,5682,73,2
2022-02,오프라인매장,35300,,,1
2022-02,자사앱푸시,5100,2351,83,0
2022-02,제휴사,23000,,,1
2022-02,지인추천,1300,,,1
2022-03,SNS광고,407100,12546,323,3
2022-03,검색광고,37400,7487,116,0
2022-03,오프라인매장,20000,,,0
2022-03,자사앱푸시,7800,1296,48,1
2022-03,제휴사,26700,,,1
2022-03,지인추천,1200,,,1
2022-04,SNS광고,350400,32066,737,3
2022-04,검색광고,73900,1953,30,1
2022-04,오프라인매장,52300,,,1
2022-04,자사앱푸시,7600,1066,49,1
2022-04,제휴사,0,,,0
2022-04,지인추천,3700,,,1
2022-05,SNS광고,486000,18029,504,4
2022-05,검색광고,116400,4565,51,2
2022-05,오프라인매장,18000,,,0
2022-05,자사앱푸시,16500,3199,157,3
2022-05,제휴사,22900,,,1
2022-05,지인추천,4300,,,2
2022-06,SNS광고,441400,24203,693,3
2022-06,검색광고,70700,2741,34,1
2022-06,오프라인매장,138500,,,4
2022-06,자사앱푸시,11600,1013,49,1
2022-06,제휴사,0,,,0
2022-06,지인추천,0,,,0
2022-07,SNS광고,177100,3696,115,1
2022-07,검색광고,61500,2333,30,1
2022-07,오프라인매장,73000,,,2
2022-07,자사앱푸시,8100,1007,46,1
2022-07,제휴사,50300,,,2
2022-07,지인추천,5500,,,2
2022-08,SNS광고,58400,22311,555,0
2022-08,검색광고,104200,5011,58,2
2022-08,오프라인매장,44100,,,1
2022-08,자사앱푸시,8300,1755,59,1
2022-08,제휴사,24400,,,1
2022-08,지인추천,0,,,0
2022-09,SNS광고,51200,22572,568,0
2022-09,검색광고,64000,2544,31,1
2022-09,오프라인매장,60700,,,1
2022-09,자사앱푸시,10200,2624,82,2
2022-09,제휴사,21600,,,1
2022-09,지인추천,0,,,0
2022-10,SNS광고,57800,27176,663,0
2022-10,검색광고,35300,7425,86,0
2022-10,오프라인매장,60600,,,2
2022-10,자사앱푸시,8100,924,50,1
2022-10,제휴사,56800,,,2
2022-10,지인추천,5200,,,1
2022-11,SNS광고,254200,10370,295,2
2022-11,검색광고,105500,5429,58,2
2022-11,오프라인매장,30000,,,0
2022-11,자사앱푸시,3100,2025,111,0
2022-11,제휴사,26100,,,1
2022-11,지인추천,4300,,,1
2022-12,SNS광고,284800,7562,210,2
2022-12,검색광고,90500,5839,68,2
